ArrSize,BST-ordered,BST-ordered-searchIn,BST-ordered-searchOut,BST-slightly-ordered,BST-slightly-ordered-searchIn,BST-slightly-ordered-searchOut,BST-shuffled,BST-shuffled-searchIn,BST-shuffled-searchOut,AVL-ordered,AVL-ordered-searchIn,AVL-ordered-searchOut,AVL-slightly-ordered,AVL-slightly-ordered-searchIn,AVL-slightly-ordered-searchOut,AVL-shuffled,AVL-shuffled-searchIn,AVL-shuffled-searchOut
7500,933060,2.46,267.14,33873.4,2.05,1.91,12333.7,1.51,0.86,39699.5,2.19,1.03,50425.1,1.65,1.21,48799.6,1.41,1.21
7600,957369,2.81,273.59,36377.3,2.23,1.99,12418.2,1.53,0.88,39387,2.28,0.9,50745.6,1.63,1.15,49380.2,1.42,1.15
7700,978694,2.56,269.22,36585,2.2,1.92,12668.2,1.59,0.81,40917,2.12,0.97,51476.1,1.67,1.17,50159.1,1.57,1.17
7800,1.00708e+006,2.49,289.33,37045.4,2.24,1.95,12796.4,1.62,0.83,41729.9,2.25,0.9,52768.4,1.7,1.23,51162.8,1.59,1.23
7900,1.03448e+006,2.66,291.87,37847.6,2.2,3.73,13009.6,1.56,0.96,41452.8,2.16,0.97,53440.5,1.56,1.18,52001.9,1.39,1.18
8000,1.05052e+006,2.55,282.02,40435.4,2.15,1.95,12926.8,1.53,0.93,41624.1,2.07,1.02,53052.4,1.6,2.51,52299.5,1.48,2.51
8100,1.08695e+006,2.56,324.71,38163.3,3.82,1.89,13871.7,1.67,0.85,43090.4,3.56,1,54984.1,1.71,1.21,53570.5,1.53,1.21
8200,1.12126e+006,2.52,304.87,40917.9,2.16,1.97,13638.3,1.57,0.89,44460.6,3.82,1.03,55283.5,2.95,1.25,54102.7,1.53,1.25
8300,1.14593e+006,2.85,302.39,39555.2,3.77,1.83,13748.8,1.65,0.93,44417.4,2.11,1.03,55510.4,1.89,1.29,55154.9,1.5,1.29
8400,1.15196e+006,2.63,292.77,41480.2,2.34,2.06,13598.3,1.58,0.82,43968,2.02,1.07,55753.2,1.62,1.27,54645.3,1.45,1.27
8500,1.19347e+006,2.66,309.91,41176.3,2.57,1.92,14042.1,3.18,0.93,45078.1,2.13,0.98,57509.1,1.73,1.24,57177.4,1.56,1.24
8600,1.2213e+006,2.56,310.55,42080.8,2.29,1.96,14370.8,1.59,0.91,45728,2.13,0.98,57709.1,1.78,1.2,56656.4,1.49,1.2
8700,1.25032e+006,2.37,307.92,42513.7,2,1.88,14341.5,1.54,0.95,46187.1,2.1,1,58829.1,3.42,1.2,57340.8,1.42,1.2
8800,1.28938e+006,2.76,323.99,46207.1,2.45,1.89,14689.5,1.73,0.81,47228.3,2.19,1.02,60251.7,1.82,1.22,59422.8,1.58,1.22
8900,1.3056e+006,2.84,321.56,44582.4,2.4,1.88,14629.8,1.61,0.84,47164.5,2.12,0.95,59737.9,3.51,1.24,59044.5,1.53,1.24
9000,1.32872e+006,2.6,333.4,45236.2,2.34,2,14878.9,1.57,0.86,47479.5,2.14,1.01,60907,1.67,2.76,60282.6,1.49,2.76
9100,1.38601e+006,2.96,337.32,47761.3,2.63,2.04,15579.9,1.62,0.92,49282,2.51,1,63111.1,1.78,1.25,63169.4,1.62,1.25
9200,1.42909e+006,2.74,345.23,47453.9,2.31,2.25,15813.1,1.74,1.02,49943.4,2.5,1.01,64014.2,1.87,1.26,63259,1.61,1.26
9300,1.44482e+006,2.71,351.66,47375.1,2.33,3.69,15787.5,1.78,0.97,50353.4,2.26,1.05,63740,1.79,1.16,63415.2,1.56,1.16
9400,1.48313e+006,2.68,357.17,48014.8,2.28,2.2,15918.7,1.65,0.96,51181.6,2.39,1.07,66258.6,1.95,1.31,64652.5,1.74,1.31
9500,1.52245e+006,3.02,354.18,47382.1,2.58,2.14,16309.9,1.72,0.96,51805.2,2.47,1.01,66391.6,1.8,1.32,65965.9,1.73,1.32
9600,1.5954e+006,3.01,378.99,53827.9,2.39,2.21,16576.4,1.67,0.93,53973.5,2.66,1.1,70847.2,2.14,1.49,71602.2,1.95,1.49
9700,1.59684e+006,2.96,383.71,55368.3,2.33,2.31,17029.8,1.75,0.96,54530.7,2.64,1.06,71124,3.36,1.41,70997.5,1.8,1.41
9800,1.64426e+006,3.08,375.24,52598.3,2.43,2.18,16931.7,1.6,1.08,55064.8,2.53,1.09,71642.9,2.04,1.38,70406.4,1.78,1.38
9900,1.65211e+006,2.79,367.29,56416.2,2.35,2.17,16974.3,1.64,0.95,53361.5,2.43,1.06,69457.8,1.96,1.42,68911.9,1.68,1.42
